On the mean accuracy of statistical pattern recognizers;https://ieeexplore.ieee.org/abstract/document/1054102/
Abdullah Mueen Encyclopedia of Machine Learning, Chapter Curse of Dimensionality;None
Information leverage in interconnected ecosystems: Overcoming the curse of dimensionality;https://www.science.org/doi/abs/10.1126/science.aag0863
A survey on feature extraction for pattern recognition;https://link.springer.com/article/10.1007/s10462-011-9225-y
Dimensionality reduction for large-scale neural recordings;https://www.nature.com/articles/nn.3776
Linear dimensionality reduction: Survey, insights, and generalizations;https://dl.acm.org/doi/abs/10.5555/2789272.2886799
Nonlinear supervised dimensionality reduction via smooth regular embeddings;https://www.sciencedirect.com/science/article/pii/S0031320318303522
A review of different dimensionality reduction methods for the prediction of sugar content from hyperspectral images of wine grape berries;https://www.sciencedirect.com/science/article/pii/S1568494621008115
Dimension reduction methods for microarray data: a review;https://www.aimspress.com/aimspress-data/aimsboa/2017/1/PDF/bioeng-04-00179.pdf
A comprehensive review of dimensionality reduction techniques for feature selection and feature extraction;https://www.jastt.org/index.php/jasttpath/article/view/24
Artificial neural network classification of high dimensional data with novel optimization approach of dimension reduction;https://link.springer.com/article/10.1007/s40745-018-0155-2
A survey on feature selection methods;https://www.sciencedirect.com/science/article/pii/S0045790613003066
Feature selection for classification;https://www.sciencedirect.com/science/article/pii/S1088467X97000085
Dimensionality reduction of unsupervised data;https://ieeexplore.ieee.org/abstract/document/632300/
Survey on feature dimension reduction for high-dimensional data;None
A review of feature selection and feature extraction methods applied on microarray data;https://onlinelibrary.wiley.com/doi/abs/10.1155/2015/198363
Performance of feature-selection methods in the classification of high-dimension data;https://www.sciencedirect.com/science/article/pii/S0031320308003142
Branch-and-Bound Search for Experimental Designs Based on D Optimality and Other Criteria;https://www.tandfonline.com/doi/abs/10.1080/00401706.1982.10487707
A dynamic shared bikes rebalancing method based on demand prediction;https://ieeexplore.ieee.org/abstract/document/8917099/
Branch and bound search to optimize injection gate locations in liquid composite molding processes;https://www.sciencedirect.com/science/article/pii/S1359835X02000477
Filtered beam search in scheduling;https://www.tandfonline.com/doi/abs/10.1080/00207548808947840
Beam search algorithms for multilabel learning;https://link.springer.com/article/10.1007/s10994-013-5371-6
A beam search approach to the container loading problem;https://www.sciencedirect.com/science/article/pii/S0305054813002530
Filtered-beam-search-based algorithm for dynamic rescheduling in FMS;https://www.sciencedirect.com/science/article/pii/S0736584506000767
Feature selection based on mutual information criteria of max-dependency, max-relevance, and min-redundancy;https://ieeexplore.ieee.org/abstract/document/1453511/
Forward sequential algorithms for best basis selection;https://digital-library.theiet.org/doi/abs/10.1049/ip-vis%3A19990445
Modified sequential forward selection applied to predicting septic shock outcome in the intensive care unit;https://link.springer.com/chapter/10.1007/978-3-642-33042-1_50
Depth-first iterative-deepening: An optimal admissible tree search;https://www.sciencedirect.com/science/article/pii/0004370285900840
Bidirectional search for interactive motion synthesis;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8659.2009.01626.x
Bidirectional heuristic search reconsidered;https://www.jair.org/index.php/jair/article/view/10199
